entity,module,sub_module,is_stm,query_methods,fields
BrowseHistory,handmade-analytics-search,behavioral-signals,False,3,4
AnalyticsEvent,handmade-analytics-search,event-analytics,False,5,9
AnalyticsSession,handmade-analytics-search,event-analytics,False,5,9
RankingSignal,handmade-analytics-search,ranking-recommendations,False,2,3
RecommendationGraph,handmade-analytics-search,ranking-recommendations,False,3,4
SearchIndexSnapshot,handmade-analytics-search,search-index,False,2,4
SearchFilter,handmade-analytics-search,search,False,3,4
SearchQuery,handmade-analytics-search,search,False,5,13
SearchRedirect,handmade-analytics-search,search,False,3,8
SearchResult,handmade-analytics-search,search,False,2,6
SearchSynonym,handmade-analytics-search,search,False,2,5
AttributeDefinition,handmade-catalog-product,catalog,False,4,8
BrowseNode,handmade-catalog-product,catalog,False,5,17
BrowseNodeAttributeRule,handmade-catalog-product,catalog,False,2,5
CatalogItem,handmade-catalog-product,catalog,False,3,7
CatalogItemAttribute,handmade-catalog-product,catalog,False,3,6
Collection,handmade-catalog-product,catalog,False,5,13
CollectionProductMapping,handmade-catalog-product,catalog,False,2,3
ProductBrowseNodeMapping,handmade-catalog-product,catalog,False,2,4
ComparisonItem,handmade-catalog-product,product-comparison,False,2,3
ProductComparison,handmade-catalog-product,product-comparison,False,4,5
ProductRelationship,handmade-catalog-product,product-relationship,False,3,4
Product,handmade-catalog-product,product,True,9,15
ProductAttributeValue,handmade-catalog-product,product,False,3,7
ProductBrowseNode,handmade-catalog-product,product,False,2,3
ProductRichMedia,handmade-catalog-product,product,False,2,5
ProductTags,handmade-catalog-product,product,False,2,2
CmsAssetLink,handmade-content-localization,cms-core,False,3,3
CmsEntry,handmade-content-localization,cms-core,False,5,7
CmsEntryVersion,handmade-content-localization,cms-core,False,2,4
CmsSchema,handmade-content-localization,cms-core,False,3,3
ContentAsset,handmade-content-localization,cms-core,False,1,3
ContentPage,handmade-content-localization,cms-core,False,4,6
ContentSlot,handmade-content-localization,cms-core,False,5,4
Currency,handmade-content-localization,localization,False,3,5
CurrencyConversion,handmade-content-localization,localization,False,0,4
Language,handmade-content-localization,localization,False,3,3
PlatformRegionPolicy,handmade-content-localization,localization,False,4,4
Region,handmade-content-localization,localization,False,4,5
Translation,handmade-content-localization,localization,False,4,5
MetaTag,handmade-content-localization,seo,False,4,5
UrlMapping,handmade-content-localization,seo,False,3,4
Cart,handmade-customer-shopping,cart,False,7,14
CartItem,handmade-customer-shopping,cart,False,11,21
CartSavedForLater,handmade-customer-shopping,cart,False,6,11
CustomerAddress,handmade-customer-shopping,customer-core,False,6,10
CustomerProfile,handmade-customer-shopping,customer-core,False,9,8
CustomerWallet,handmade-customer-shopping,customer-core,False,1,7
GiftCard,handmade-customer-shopping,customer-core,False,5,7
Subscription,handmade-customer-shopping,customer-core,False,3,6
PaymentAuthorization,handmade-customer-shopping,payment,False,5,11
PaymentCapture,handmade-customer-shopping,payment,False,5,9
PaymentMethod,handmade-customer-shopping,payment,False,8,19
PaymentRefundTransaction,handmade-customer-shopping,payment,False,5,12
PaymentTransaction,handmade-customer-shopping,payment,False,10,21
ProductAnswer,handmade-customer-shopping,qa,False,6,14
ProductQuestion,handmade-customer-shopping,qa,False,5,12
QaVote,handmade-customer-shopping,qa,False,4,5
ProductReview,handmade-customer-shopping,reviews,False,3,9
ProductReviewVote,handmade-customer-shopping,reviews,False,3,3
ReviewAggregationSnapshot,handmade-customer-shopping,reviews,False,2,5
ReviewModerationLog,handmade-customer-shopping,reviews,False,2,5
Wishlist,handmade-customer-shopping,wishlist,False,2,3
WishlistItem,handmade-customer-shopping,wishlist,False,3,5
SettlementTransaction,handmade-finance-management,unknown,False,2,4
EtlJob,handmade-integration,etl-pipelines,False,2,6
ExternalVendor,handmade-integration,external-vendor,False,3,4
Webhook,handmade-integration,webhooks,False,3,4
InboundShipment,handmade-inventory-logistics,inbound-shipments,False,7,7
InboundShipmentItem,handmade-inventory-logistics,inbound-shipments,False,1,7
FulfillmentNode,handmade-inventory-logistics,inventory-core,False,6,8
InventoryLedger,handmade-inventory-logistics,inventory-core,False,2,6
FulfillmentBin,handmade-inventory-logistics,inventory-operations,False,2,5
InventoryHealth,handmade-inventory-logistics,inventory-operations,False,2,11
InventoryPosition,handmade-inventory-logistics,inventory-operations,False,2,6
InventoryReservation,handmade-inventory-logistics,inventory-operations,False,3,5
PackTask,handmade-inventory-logistics,inventory-operations,False,4,4
PickTask,handmade-inventory-logistics,inventory-operations,False,5,5
Carrier,handmade-inventory-logistics,logistics,False,6,5
DeliveryAttempt,handmade-inventory-logistics,logistics,False,1,5
DeliveryException,handmade-inventory-logistics,logistics,False,3,5
RoutePlan,handmade-inventory-logistics,logistics,False,3,6
ShippingLabel,handmade-inventory-logistics,logistics,False,5,7
WarehouseZone,handmade-inventory-logistics,logistics,False,4,5
VendorPo,handmade-inventory-logistics,vendor-po,False,5,7
VendorPoLine,handmade-inventory-logistics,vendor-po,False,1,7
DisputeResolution,handmade-order-finance,unknown,False,5,10
Dispute,handmade-order-finance,dispute,False,11,17
DisputeEvidence,handmade-order-finance,dispute,False,2,7
FeeApplication,handmade-order-finance,finance,False,3,4
FeeCharge,handmade-order-finance,finance,False,2,4
FeeDefinition,handmade-order-finance,finance,False,4,5
Payout,handmade-order-finance,finance,False,3,5
SettlementBatch,handmade-order-finance,finance,False,3,6
TaxCalculation,handmade-order-finance,finance,False,3,7
Order,handmade-order-finance,order-core,True,9,9
OrderLine,handmade-order-finance,order-core,False,3,6
Refund,handmade-order-finance,order-core,False,2,4
ReturnRequest,handmade-order-finance,order-core,True,6,5
Shipment,handmade-order-finance,order-core,True,8,7
ShipmentItem,handmade-order-finance,order-core,False,2,3
TaxJurisdiction,handmade-order-finance,tax,False,9,10
TaxRate,handmade-order-finance,tax,False,4,9
ComplianceDocument,handmade-platform-governance,compliance-risk,False,4,6
FraudCase,handmade-platform-governance,compliance-risk,False,3,4
FraudSignal,handmade-platform-governance,compliance-risk,False,2,7
RiskSignal,handmade-platform-governance,compliance-risk,False,3,5
SellerTrustScore,handmade-platform-governance,compliance-risk,False,1,4
EventQueue,handmade-platform-governance,event-infrastructure,False,2,6
EventSubscription,handmade-platform-governance,event-infrastructure,False,2,3
JobScheduler,handmade-platform-governance,event-infrastructure,False,2,5
WorkflowTask,handmade-platform-governance,event-infrastructure,False,4,6
AuditSnapshot,handmade-platform-governance,governance,False,2,5
GdprRequest,handmade-platform-governance,governance,False,3,5
PrivacyPolicyAck,handmade-platform-governance,governance,False,2,4
Permission,handmade-platform-governance,iam,False,2,2
Role,handmade-platform-governance,iam,False,3,3
RolePermission,handmade-platform-governance,iam,False,2,2
UserRole,handmade-platform-governance,iam,False,2,4
LimitCounter,handmade-platform-governance,limits-quotas,False,2,4
LimitDefinition,handmade-platform-governance,limits-quotas,False,3,5
LimitScope,handmade-platform-governance,limits-quotas,False,2,4
NotificationLog,handmade-platform-governance,notifications,False,4,7
NotificationQueue,handmade-platform-governance,notifications,False,4,9
NotificationTemplate,handmade-platform-governance,notifications,False,3,5
UserPreference,handmade-platform-governance,notifications,False,3,4
ActivityStream,handmade-platform-governance,observability,False,4,6
ErrorLog,handmade-platform-governance,observability,False,3,7
MetricsSnapshot,handmade-platform-governance,observability,False,1,5
Platform,handmade-platform-governance,platform-core,False,7,6
PlatformActivityLog,handmade-platform-governance,platform-core,False,1,3
PlatformAuditLog,handmade-platform-governance,platform-core,False,3,6
PlatformCompliance,handmade-platform-governance,platform-core,False,2,3
PlatformPolicy,handmade-platform-governance,platform-core,False,2,4
PolicyDecision,handmade-platform-governance,policy-engine,False,3,7
PolicyDefinition,handmade-platform-governance,policy-engine,False,4,6
PolicyEvaluationLog,handmade-platform-governance,policy-engine,False,2,6
PolicyRule,handmade-platform-governance,policy-engine,False,4,9
PolicyScope,handmade-platform-governance,policy-engine,False,1,3
ExchangeRate,handmade-platform-management,unknown,False,0,5
FeatureConfiguration,handmade-platform-management,unknown,False,0,0
MarketplaceLocale,handmade-platform-management,unknown,False,1,6
PlatformActivityLog,handmade-platform-management,unknown,False,0,0
PlatformAuditLog,handmade-platform-management,unknown,False,0,0
PlatformFeatureConfig,handmade-platform-management,unknown,False,0,0
CommissionRule,handmade-policy-management,unknown,False,2,3
CompliancePolicyRule,handmade-policy-management,unknown,False,3,6
ComplianceSnapshot,handmade-policy-management,unknown,False,3,3
FraudPolicyRule,handmade-policy-management,unknown,False,2,3
InventoryPolicyRule,handmade-policy-management,unknown,False,2,3
ListingPolicyRule,handmade-policy-management,unknown,False,2,5
OnboardingPolicyRule,handmade-policy-management,unknown,False,3,5
PayoutPolicyRule,handmade-policy-management,unknown,False,2,6
PayoutProfile,handmade-policy-management,unknown,False,2,3
PerformanceThreshold,handmade-policy-management,unknown,False,1,4
PricingPolicyRule,handmade-policy-management,unknown,False,3,5
ReturnPolicyRule,handmade-policy-management,unknown,False,2,3
AdCampaign,handmade-promotion-pricing,adtech,False,5,8
AdPerformance,handmade-promotion-pricing,adtech,False,1,6
SponsoredProduct,handmade-promotion-pricing,adtech,False,3,4
ExperimentAssignment,handmade-promotion-pricing,experiment-engine,False,3,5
ExperimentAudience,handmade-promotion-pricing,experiment-engine,False,3,4
ExperimentBucket,handmade-promotion-pricing,experiment-engine,False,2,5
ExperimentDefinition,handmade-promotion-pricing,experiment-engine,False,5,8
LoyaltyPoints,handmade-promotion-pricing,loyalty,False,2,5
LoyaltyProgram,handmade-promotion-pricing,loyalty,False,2,4
ReferralProgram,handmade-promotion-pricing,loyalty,False,4,3
PriceAlert,handmade-promotion-pricing,pricing-core,False,5,10
PriceHistory,handmade-promotion-pricing,pricing-core,False,4,9
PricingDecisionLog,handmade-promotion-pricing,pricing-engine,False,1,5
PricingPriority,handmade-promotion-pricing,pricing-engine,False,2,3
PricingRuleAction,handmade-promotion-pricing,pricing-engine,False,2,4
PricingRuleCondition,handmade-promotion-pricing,pricing-engine,False,1,2
PricingRuleDefinition,handmade-promotion-pricing,pricing-engine,False,5,8
Coupon,handmade-promotion-pricing,promotion,False,7,16
CouponUsage,handmade-promotion-pricing,promotion,False,5,9
DiscountApplication,handmade-promotion-pricing,promotion,False,6,9
Promotion,handmade-promotion-pricing,promotion,False,9,21
PromotionRule,handmade-promotion-pricing,promotion,False,4,7
PaymentMethodd,handmade-seller-management,unknown,False,9,11
SellerActivityLog,handmade-seller-management,unknown,False,0,0
SellerConfiguration,handmade-seller-management,unknown,False,0,1
SellerPaymentInfo,handmade-seller-management,unknown,False,1,3
TaxInfo,handmade-seller-management,unknown,False,9,14
TaxRegistration,handmade-seller-management,unknown,False,2,3
BuyBoxEligibility,handmade-seller-offer,offer,False,2,6
Offer,handmade-seller-offer,offer,True,8,11
OfferPrice,handmade-seller-offer,offer,False,3,6
OfferTierPrice,handmade-seller-offer,offer,False,1,4
PriceRule,handmade-seller-offer,offer,False,3,6
ShippingRule,handmade-seller-offer,offer,False,1,5
ShippingTemplate,handmade-seller-offer,offer,False,3,4
SellerAccount,handmade-seller-offer,seller-account,True,8,12
SellerConfiguration,handmade-seller-offer,seller-account,False,2,6
SellerKyc,handmade-seller-offer,seller-account,False,5,8
SellerPaymentInfo,handmade-seller-offer,seller-account,False,2,4
SellerStore,handmade-seller-offer,seller-account,True,17,18
SellerTaxDocuments,handmade-seller-offer,seller-account,False,1,2
SellerTaxInfo,handmade-seller-offer,seller-account,False,10,16
SellerConversation,handmade-seller-offer,seller-messaging,False,5,10
SellerMessage,handmade-seller-offer,seller-messaging,False,3,9
SellerOnboardingCase,handmade-seller-offer,seller-onboarding,True,9,16
SellerOnboardingStep,handmade-seller-offer,seller-onboarding,False,3,10
SellerVerification,handmade-seller-offer,seller-onboarding,False,4,13
SellerActionItem,handmade-seller-offer,seller-performance,False,3,6
SellerBadge,handmade-seller-offer,seller-performance,False,2,4
SellerFeedback,handmade-seller-offer,seller-performance,False,3,8
SellerGoal,handmade-seller-offer,seller-performance,False,3,7
SellerPerformance,handmade-seller-offer,seller-performance,False,3,7
SellerRecommendation,handmade-seller-offer,seller-performance,False,5,6
CaseManagement,handmade-support-observability,case-management,False,5,8
OrderNote,handmade-support-observability,case-management,False,2,4
RefundResolution,handmade-support-observability,case-management,False,4,9
